	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
514	Medio	Prepaga por Obra Social	Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
515	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No conocer dónde recurrir cuando necesita atención médica, No conocer cómo solicitar turnos, Vivir lejos de los centros de atención médica, Dificultades para que los médicos /as entiendan sus dolencias	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
516	Medio Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Asignación Universal por Hijo	Empresa o negocio propio	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
517	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
518	Medio Bajo	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión, Otra fuente	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa, Otras	NA
519	Medio Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Asignación Universal por Hijo	Trabajo informal (en negro)	Ayuda de familiares o amigos	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
520	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal, Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	NA
521	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
522	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa, Otras	NA
523	Medio Bajo	Obra social por trabajo o sindicato	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No conocer cómo solicitar turnos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
524	Medio Bajo	Obra social por trabajo o sindicato	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
525	Medio Bajo	PAMI, Otra cobertura	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
526	Medio Bajo	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión, Programa estatal	Ninguna de las anteriores	Trabajo informal (en negro)	Ayuda de familiares o amigos	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
527	Medio Bajo	Otra cobertura	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de información provista por el Estado en conferencias de prensa	NA
528	Medio Bajo	Obra social por trabajo o sindicato	Ns / Nc	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo formal, Trabajo informal (en negro)	Ayuda de familiares o amigos	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
529	Medio alto	No tiene cobertura	NA	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo informal (en negro)	Ayuda de familiares o amigos	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
530	Medio Bajo	Obra social por trabajo o sindicato	Ns / Nc	Trabajo	Asignación Universal por Hijo	Trabajo formal	Ayuda de familiares o amigos	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
531	Medio Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo informal (en negro), Eventual (por changas)	Parroquia, Ayuda de familiares o amigos	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
532	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
533	Medio Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Trabajo informal (en negro)	Ayuda de familiares o amigos	No conocer dónde recurrir cuando necesita atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	Acceder al seguimiento de los servicios médicos, Aislar en el hogar a las personas contagiadas	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
534	Medio Bajo	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No conocer cómo solicitar turnos	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
535	Medio Bajo	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Asignación Universal por Hijo	Jubilación / pensión	Ninguno	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
536	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	NA
537	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social, No tiene cobertura	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No conocer cómo solicitar turnos, Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	Acceder a información sobre síntomas/cuidados/prevención frente al COVID19, Acceder al testeo en caso de tener síntomas, Aislar en el hogar a las personas contagiadas	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
538	Medio	Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
539	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios)	NA
540	Medio	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Eventual (por changas)	Ayuda de familiares o amigos	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
541	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Apoyo escolar	No tuvo ninguna dificultad	NA	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
542	Medio	PAMI	Atención médica básica, Atención odontológica, Ns / Nc	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
543	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
544	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
545	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Otras	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos
546	Medio	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	NA
547	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos
548	Medio	Obra social por trabajo o sindicato	Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	A través de redes sociales
549	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No conocer dónde recurrir cuando necesita atención médica, No conocer cómo solicitar turnos, Dificultades económicas para afrontar los gastos en salud., Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
550	Medio	Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis, Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios)
551	Medio	Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis, Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios)
552	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Otras	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
553	Medio	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
554	Medio	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	NA
555	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de redes sociales	A través de medios masivos (televisión/radio/diarios)
556	Medio	Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis, Ns / Nc	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ayuda de familiares o amigos	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud.	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
557	Medio	Prepaga por Obra Social	Atención médica básica, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales
558	Medio	PAMI	Atención médica básica, Atención odontológica, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de los propios servicios de salud	NA
559	Medio	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
560	Medio	Obra social por trabajo o sindicato, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo, Programa estatal	Asignación Universal por Hijo	Trabajo formal	Ninguno	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de redes sociales	A través de los docentes o directivos de las instituciones educativas
561	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Otro	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
562	Medio	Prepaga por Obra Social	Atención médica básica, Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
563	Medio	Obra social por trabajo o sindicato, No tiene cobertura	Atención médica básica, Atención odontológica, Provisión de elementos (anteojos o prótesis por ej), Ns / Nc	Trabajo	Asignación Universal por Hijo	Trabajo formal	Ayuda de familiares o amigos, Otro	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
564	Medio	PAMI, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Eventual (por changas)	Ayuda de familiares o amigos	Sentirse discriminado a la hora de solicitar atención, Tiempo de espera excesivos para acceder a la consulta	NA	Aislar en el hogar a las personas contagiadas	A través de redes sociales	NA
565	Medio	Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Asignación Universal por Hijo	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de los propios servicios de salud	NA
566	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Otras	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	NA	A través de medios masivos (televisión/radio/diarios)
567	Medio	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios)
568	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), Otras	A través de redes sociales
569	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
570	Bajo	Obra social por trabajo o sindicato	Atención médica básica	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
571	Bajo	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
572	Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
573	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de redes sociales	A través de medios masivos (televisión/radio/diarios)
574	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
575	Bajo	PAMI, No tiene cobertura	Atención médica básica	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Comedor o merendero barrial	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos
576	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas
